"persid";"estanid";"perfilid";"perfil";"perfilgrupo"
"0cfa60444";"0038PB032";"A0504";"Profesor titular universidad";"PDI"
"8ee8549c6";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"345377d46";"0000PB997";"7138B";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"838498f3b";"0000PB997";"7056";"E. CONDUCTORES";"PAS"
"dc3e58303";"0016PB033";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"e7140bea9";"0203PB063";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"67f678748";"0000PB997";"7056";"E. CONDUCTORES";"PAS"
"191357e1f";"0007PB009";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"099dc9aa2";"0000PB997";"A0506";"Profesor titular escuela universitaria";"PDI"
"27abfcf68";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"91ce4b7ac";"0028PB047";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"e31e4874e";"0000PB997";"CARGO";"CARGO";"OTROS"
"fca53d6f9";"0028PB040";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"44769b58d";"0037PB005";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"ae29ce869";"0000PB997";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"cf171e20a";"0028PB047";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"9eab5a729";"0031PB001";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"fda7da58e";"0014PB027";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"cd77232b5";"0011PB027";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"860b7be6e";"0019PB027";"A0500";"Catedratico de universidad";"PDI"
"7be65ffaf";"0016PB024";"CARGO";"CARGO";"OTROS"
"35de4f155";"0033PB114";"7189";"E. CONSERJE";"PAS"
"07c08cf9d";"0024PB011";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"d88929ea1";"0000PB997";"CARGO";"CARGO";"OTROS"
"498de7b7a";"0203PB044";"7138B";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"bb74b00d5";"0012PB055";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"b59b64cb2";"0020PB021";"A0504";"Profesor titular universidad";"PDI"
"f93965c7a";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"6fcda73f0";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"e046494b6";"0033PB075";"7005";"E. ESPEC. ARCHIV. BIBLIOT, Y CENTROS DOC";"PAS"
"e6ef08095";"0000PB997";"CARGO";"CARGO";"OTROS"
"2803162cb";"0025PB009";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"d9de6f5eb";"0038PB030";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"f2b0b4e41";"0000PB997";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"cdfe69e7e";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"b75bfc56e";"0020PB014";"A0504";"Profesor titular universidad";"PDI"
"918e80f7c";"0020PB025";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"be408f5df";"0006PB033";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"2e93f325a";"0000PB997";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"86955afc1";"0013PB031";"A0504";"Profesor titular universidad";"PDI"
"775075f35";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"149dba04c";"0015PB070";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"137781bfd";"0024PB007";"A0504";"Profesor titular universidad";"PDI"
"137781bfd";"0037PB025";"CARGO";"CARGO";"OTROS"
"614852f57";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"2dadbb3ff";"0000PB997";"CARGO";"CARGO";"OTROS"
"a92640574";"0020PB041";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"820d242c1";"0012PB052";"A0504";"Profesor titular universidad";"PDI"
"f104e003c";"0026PB004";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"ab02ccacb";"0018PB030";"A0504";"Profesor titular universidad";"PDI"
"ac3acfadf";"0000PB997";"CARGO";"CARGO";"OTROS"
"dc2d86f00";"0033PB081";"7003";"E. AYUDANTES ARC, BIB Y C. DOCUM U. A.";"PAS"
"54c346d56";"0016PB016";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"daf268e56";"0000PB997";"CARGO";"CARGO";"OTROS"
"7df668b19";"0036PB034";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"1d6192424";"0009PB028";"A0504";"Profesor titular universidad";"PDI"
"1d6192424";"0007PB008";"CARGO";"CARGO";"OTROS"
"e4f59711d";"0021PB018";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"f458866b3";"0020PB042";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"ff23f2330";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"da7c5353c";"0031PB006";"40004";"AUXILIAR ADMINISTRATIVO";"PAS"
"27a019903";"0028PB024";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"dede388fa";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"6895c0f75";"0028PB092";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"26c09bf0e";"0000PB997";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"8009368c5";"0000PB997";"A0506";"Profesor titular escuela universitaria";"PDI"
"36c556420";"0005PB013";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"962aa38e4";"0028PB053";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"3d47dc6c6";"0000PB997";"CARGO";"CARGO";"OTROS"
"77fceeb05";"0036PB034";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"41b9008ad";"0034PB029";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"24926e9f2";"0012PB017";"A0504";"Profesor titular universidad";"PDI"
"b24fb5d7b";"0000PB997";"CARGO";"CARGO";"OTROS"
"3b9798451";"0000PB997";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"653693dc8";"0015PB002";"A0506";"Profesor titular escuela universitaria";"PDI"
"76c7e96ae";"0000PB997";"CARGO";"CARGO";"OTROS"
"c4a5ccb0c";"0000PB997";"CARGO";"CARGO";"OTROS"
"d09e909e3";"0036PB034";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"de384cb9f";"0030PB025";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"15e71699c";"0015PB069";"A0506";"Profesor titular escuela universitaria";"PDI"
"7fae41bd0";"0000PB997";"CARGO";"CARGO";"OTROS"
"c180b1974";"0009PB043";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"31e5ca062";"0030PB023";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"0b673a95c";"0000PB997";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"8ac860c6f";"0028PB024";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"66edfd028";"0036PB034";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"84bec319a";"0028PB024";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"eb4d2b72c";"0008PB023";"A0504";"Profesor titular universidad";"PDI"
"1d66479cd";"0015PB010";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"f1a3ff8b9";"0004PB014";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"0179c5bd7";"0018PB027";"A0500";"Catedratico de universidad";"PDI"
"6adf1c0c9";"0011PB014";"00061";"PROFESOR AYUDANTE DOCTOR (LOU)";"PDI"
"51dfc67ef";"0011PB027";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"c60ecd5c7";"0007PB001";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"a350e36f7";"0027PB011";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"57a6e65fd";"0020PB022";"A0506";"Profesor titular escuela universitaria";"PDI"
"ac4da6e08";"0037PB007";"7003";"E. AYUDANTES ARC, BIB Y C. DOCUM U. A.";"PAS"
"e29a690d8";"0021PB019";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"4a4812d28";"0014PB020";"30005";"ESPECIALISTA TECNICO LABORATORIO";"PAS"
"d2c6009f7";"0026PB050";"A0506";"Profesor titular escuela universitaria";"PDI"
"022d0ebaa";"0027PB010";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"6f62708d8";"0028PB014";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"befe9551d";"0033PB112";"50001";"ORDENANZA BIBLIOTECA";"PAS"
"38a54033a";"0026PB014";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"0826f06c6";"0036PB032";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"eed7ecfc3";"0033PB039";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"a4e00ecca";"0027PB003";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"456a318c3";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"6e3648008";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"8cbc0755b";"0020PB042";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"67a1a2ccd";"0020PB025";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"54c93013d";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"042ce59a6";"0036PB034";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"e47dbc2da";"0033PB009";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"4bc2c7ed3";"0009PB029";"A0504";"Profesor titular universidad";"PDI"
"da1873fbb";"0015PB053";"A0504";"Profesor titular universidad";"PDI"
"c391ef5ab";"0021PB019";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"d6f73ff8b";"0024PB002";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"9a3a5c19d";"0000PB997";"7189";"E. CONSERJE";"PAS"
"3de11d979";"0004PB011";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"f1ec44db7";"0019PB009";"A0504";"Profesor titular universidad";"PDI"
"ac7da6e50";"0000PB997";"CARGO";"CARGO";"OTROS"
"eeb55e47d";"0007PB001";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"3ba6e7f60";"0038PB030";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"8c065eb3e";"0003PB037";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"c751fa7bf";"0007PB008";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"9730738d4";"0024PB001";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"c424a7950";"0008PB014";"A0504";"Profesor titular universidad";"PDI"
"42c0c6d0f";"0034PB079";"00062";"PROFESOR COLABORADOR (LOU)";"PDI"
"42c0c6d0f";"0036PB005";"CARGO";"CARGO";"OTROS"
"6d3aea0c6";"0028PB040";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"064e5e0e2";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"050a84530";"0020PB020";"CARGO";"CARGO";"OTROS"
"050a84530";"0020PB020";"A0504";"Profesor titular universidad";"PDI"
"460425ea7";"0000PB997";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"882f66c0d";"0007PB001";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"817649758";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"e23787c1e";"0037PB040";"40004";"AUXILIAR ADMINISTRATIVO";"PAS"
"9b21dfb1d";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"20be2eda6";"0030PB042";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"b206a68c6";"0005PB001";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"9a5c5b5d2";"0028PB093";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"afd499f53";"0034PB080";"00062";"PROFESOR COLABORADOR (LOU)";"PDI"
"612d207d8";"0033PB012";"7003";"E. AYUDANTES ARC, BIB Y C. DOCUM U. A.";"PAS"
"4010b944e";"0030PB043";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"38309e007";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"6eeffa56d";"0000PB997";"A0500";"Catedratico de universidad";"PDI"
"0005c1fad";"0020PB005";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"9a1860da3";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"f10ff30fb";"0033PB081";"7001";"E. ARCHI.,BIBLIOT. Y DOCUM. U. ALICANTE";"PAS"
"7615e7dc8";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"61078be56";"0026PB005";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"711c36759";"0005PB013";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"c81fc2aaf";"0034PB080";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"78e180e96";"0022PB021";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"210656e6e";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"1d55f805b";"0025PB042";"7189";"E. CONSERJE";"PAS"
"9e5b96270";"0007PB109";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"f47b197d1";"0031PB021";"A0504";"Profesor titular universidad";"PDI"
"1b69aef70";"0014PB018";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"499e2af38";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"1c0f51a49";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"3800fc54c";"0015PB067";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"1b146c704";"0013PB027";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"8a279718b";"0005PB003";"7053";"E. OPERADOR DE LA UNIV. DE ALICANTE";"PAS"
"c82e2552d";"0020PB045";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"955b110b2";"0008PB026";"A0500";"Catedratico de universidad";"PDI"
"6fc2f632a";"0031PB047";"A0506";"Profesor titular escuela universitaria";"PDI"
"395b6a5e6";"0020PB011";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"e67b6c783";"0036PB034";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"7cc8fa05b";"0003PB037";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"d4a06d684";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"b779bfa7a";"0036PB032";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"6eedd7de6";"0013PB012";"7189";"E. CONSERJE";"PAS"
"984153bde";"0005PB013";"7019";"E. ANALISTA-PROGRA. DE LA UNIV. DE ALIC.";"PAS"
"5acd57f2c";"0034PB016";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"30d171898";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"6cc38adbf";"0036PB030";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"a0212c28c";"0000PB997";"CARGO";"CARGO";"OTROS"
"2f779b774";"0020PB026";"7189";"E. CONSERJE";"PAS"
"b2484c8ca";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"d391a6554";"0033PB025";"7003";"E. AYUDANTES ARC, BIB Y C. DOCUM U. A.";"PAS"
"0c5fa014a";"0037PB007";"7001";"E. ARCHI.,BIBLIOT. Y DOCUM. U. ALICANTE";"PAS"
"54f8ab6d0";"0028PB093";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"59b658218";"0033PB022";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"ecc7d5915";"0033PB101";"7001";"E. ARCHI.,BIBLIOT. Y DOCUM. U. ALICANTE";"PAS"
"153591811";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"5eb298f51";"0000PB997";"7056";"E. CONDUCTORES";"PAS"
"dd99efa9c";"0028PB022";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"c3586b6fb";"0000PB997";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"c3586b6fb";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"ae60f1872";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"8a341120a";"0000PB997";"7056";"E. CONDUCTORES";"PAS"
"edf6e2c53";"0000PB997";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"05bb4e8c3";"0020PB004";"CARGO";"CARGO";"OTROS"
"771cf84fa";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"9526d759e";"0034PB016";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"58b541cb3";"0011PB018";"7005";"E. ESPEC. ARCHIV. BIBLIOT, Y CENTROS DOC";"PAS"
"ea522bad8";"0009PB020";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"c2e6ad5c0";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"560975033";"0028PB030";"CARGO";"CARGO";"OTROS"
"1251f8120";"0028PB093";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"75c89f6a4";"0009PB002";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"496d430be";"0034PB051";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"99eca9bba";"0012PB012";"00063";"PROFESOR CONTRATADO DOCTOR (LOU)";"PDI"
"e7ae37911";"0024PB001";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"2560d2a0c";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"fe779f824";"0000PB997";"10015";"TECNICO SUPERIOR";"PAS"
"ba3a4faa8";"0036PB034";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"be300edaa";"0000PB997";"CARGO";"CARGO";"OTROS"
"a0231c21f";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"31e9d523d";"0000PB997";"CARGO";"CARGO";"OTROS"
"53516535a";"0008PB004";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"ba94e48c2";"0011PB017";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"e271be985";"0024PB011";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"3944ff160";"0000PB997";"30008";"OPERADOR";"PAS"
"6cd07ae5c";"0036PB054";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"4fc0002ff";"0000PB997";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"1bb0c9bce";"0026PB005";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"ca5c5582a";"0033PB034";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"38dc37b4b";"0028PB050";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"ec7503bf4";"0011PB017";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"a1448801c";"0033PB081";"7003";"E. AYUDANTES ARC, BIB Y C. DOCUM U. A.";"PAS"
"a1dca43c7";"0033PB039";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"06e04a046";"0000PB997";"CARGO";"CARGO";"OTROS"
"e34560b21";"0031PB015";"A0504";"Profesor titular universidad";"PDI"
"88528e5f4";"0008PB011";"A0500";"Catedratico de universidad";"PDI"
"3efba9154";"0000PB997";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"4decc9f5d";"0006PB030";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"4fce23126";"0000PB997";"CARGO";"CARGO";"OTROS"
"02ed5971f";"0028PB040";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"caa95ce88";"0018PB022";"A0504";"Profesor titular universidad";"PDI"
"7f2745be5";"0024PB025";"7189";"E. CONSERJE";"PAS"
"5a7b2c1b3";"0019PB035";"7189";"E. CONSERJE";"PAS"
"82776df92";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"ca1e857e5";"0000PB997";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"19ba41d56";"0033PB111";"7003";"E. AYUDANTES ARC, BIB Y C. DOCUM U. A.";"PAS"
"4d4e54051";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"d2c476f3e";"0007PB165";"7003";"E. AYUDANTES ARC, BIB Y C. DOCUM U. A.";"PAS"
"0992b443e";"0005PB013";"7053";"E. OPERADOR DE LA UNIV. DE ALICANTE";"PAS"
"2a3230f51";"0033PB020";"7003";"E. AYUDANTES ARC, BIB Y C. DOCUM U. A.";"PAS"
"e7e88a15d";"0036PB034";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"c5e8aae93";"0000PB997";"CARGO";"CARGO";"OTROS"
"59c9058ae";"0007PB065";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"e8887ec38";"0010PB013";"40002";"OFICIAL SEGUNDA LABORATORIO";"PAS"
"2e1cd5699";"0034PB037";"00063";"PROFESOR CONTRATADO DOCTOR (LOU)";"PDI"
"c65dba1cb";"0021PB019";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"e0227ce80";"0015PB006";"A0504";"Profesor titular universidad";"PDI"
"e0227ce80";"0000PB997";"CARGO";"CARGO";"OTROS"
"dbfff9757";"0019PB004";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"a87ea6ed7";"0031PB042";"7003";"E. AYUDANTES ARC, BIB Y C. DOCUM U. A.";"PAS"
"63e843b87";"0015PB068";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"172b8c484";"0000PB997";"CARGO";"CARGO";"OTROS"
"172b8c484";"0018PB028";"A0504";"Profesor titular universidad";"PDI"
"e0063ca20";"0042PB004";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"533bb528e";"0030PB043";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"3f0ec2e7d";"0030PB036";"7189";"E. CONSERJE";"PAS"
"821c5698a";"0028PB092";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"9ab5c09fe";"0019PB014";"CARGO";"CARGO";"OTROS"
"9ab5c09fe";"0019PB014";"A0504";"Profesor titular universidad";"PDI"
"67b325822";"0031PB018";"A0504";"Profesor titular universidad";"PDI"
"30dfc7550";"0015PB063";"A0506";"Profesor titular escuela universitaria";"PDI"
"5fb8ab45f";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"0861e5aa0";"0033PB112";"7005";"E. ESPEC. ARCHIV. BIBLIOT, Y CENTROS DOC";"PAS"
"eff0714e4";"0008PB050";"A0504";"Profesor titular universidad";"PDI"
"2e40932a1";"0028PB014";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"11cc7ca59";"0033PB021";"7189";"E. CONSERJE";"PAS"
"7e1af9de7";"0028PB024";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"71e866d4c";"0012PB038";"7035";"E. TECNICO MEDIO DE LA UNIV. DE ALIC.";"PAS"
"1519d1a35";"0203PB022";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"3fde5a78b";"0000PB997";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"eb4e72988";"0020PB026";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"b69719844";"0000PB997";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"b989cd102";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"7358d4879";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"222c34581";"0026PB012";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"3d9f18cd9";"0008PB025";"A0500";"Catedratico de universidad";"PDI"
"662b3c309";"0031PB012";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"779b88134";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"5b2a5c6f6";"0036PB003";"CARGO";"CARGO";"OTROS"
"5b2a5c6f6";"0000PB997";"CARGO";"CARGO";"OTROS"
"f80e920b3";"0021PB001";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"3725d8378";"0036PB029";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"45ccaf6c1";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"e01c08522";"0000PB997";"10016B";"TECNICO GRUPO B";"PAS"
"b9e6cb4d5";"0028PB056";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"d542dd04b";"0034PB028";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"719c06e55";"0028PB024";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
